Entity,,,,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Accounts,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Screening Sessions,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Appointments,Group Sessions,Content Views,Content Views,Content Views,Content Views,Content Views,Content Views
Group,,,,Aggregate,Account Type,Account Type,Account Source,Account Source,Account Source,Account Source,Account Source,Aggregate,Triage Level,Triage Level,Triage Level,Crisis Flag,Crisis Flag,Aggregate,Clinical Level,Clinical Level,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Provider Role,Aggregate,Aggregate,Content Type,Content Type,Content Type,Content Type,Content Type
Metric,,,,Total,Anonymous,Verified,Anonymous,Email_password,Penn_key_sso,Penn_mpm_sso,Penn_sso,Total,Mild,Moderate,Severe,No,Yes,Total,Clinical,Sub-clinical,Care_manager,Chaplain,Clinician,Coach,Other,Peer,Psychiatrist,Psychologist,Undefined,Total,Total,App,Article,Podcast,Video,Worksheet
Year,Connect with Support,In the Studio,On Your Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,1,1,0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,15.0,0.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,5.0,66.0,21.0,0.0,9.0,1.0,11.0,0.0
All Time,0,0,0,35227.0,26274.0,8953.0,26274.0,1.0,3958.0,88.0,4906.0,1058.0,525.0,431.0,102.0,915.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Time,0,0,1,5232.0,3359.0,1873.0,3359.0,0.0,702.0,0.0,1171.0,151.0,82.0,56.0,13.0,134.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14931.0,23.0,3980.0,6081.0,4632.0,215.0
All Time,0,1,0,5069.0,1946.0,3123.0,1946.0,0.0,1412.0,0.0,1711.0,76.0,45.0,24.0,7.0,69.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9672.0,0.0,0.0,0.0,0.0,0.0,0.0
All Time,0,1,1,1144.0,364.0,780.0,364.0,0.0,303.0,0.0,477.0,54.0,34.0,18.0,2.0,47.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4449.0,5958.0,20.0,1089.0,3341.0,1469.0,39.0
All Time,1,0,0,2835.0,1504.0,1331.0,1504.0,0.0,626.0,0.0,705.0,864.0,325.0,459.0,80.0,765.0,99.0,3988.0,2498.0,1490.0,399.0,29.0,2127.0,807.0,0.0,10.0,371.0,6.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Time,1,0,1,227.0,57.0,170.0,57.0,0.0,57.0,0.0,113.0,131.0,48.0,76.0,7.0,120.0,11.0,487.0,312.0,175.0,27.0,8.0,267.0,108.0,2.0,1.0,45.0,0.0,29.0,0.0,700.0,6.0,321.0,167.0,182.0,24.0
All Time,1,1,0,215.0,35.0,180.0,35.0,0.0,85.0,0.0,95.0,95.0,33.0,58.0,4.0,86.0,9.0,334.0,135.0,199.0,44.0,9.0,125.0,101.0,0.0,0.0,10.0,0.0,45.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
All Time,1,1,1,151.0,19.0,132.0,19.0,0.0,53.0,0.0,79.0,66.0,29.0,32.0,5.0,58.0,8.0,308.0,135.0,173.0,35.0,8.0,118.0,99.0,0.0,0.0,17.0,3.0,28.0,592.0,702.0,24.0,282.0,159.0,216.0,21.0
