,source,target,color,path,label,value,level
686,17,21,"rgba(0,255,0,0.2)",mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,mild-->no_symptoms-->no_symptoms-->no_symptoms-->mild,48,4
687,18,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,mild-->no_symptoms-->no_symptoms-->followup_sensitivity-->moderate,2,4
688,20,24,"rgba(192,192,192,0.2)",mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,mild-->no_symptoms-->no_symptoms-->inconclusive-->inconclusive,1,4
689,17,21,"rgba(0,255,0,0.2)",mild-->no_symptoms-->mild-->no_symptoms-->mild,mild-->no_symptoms-->mild-->no_symptoms-->mild,124,4
690,18,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,mild-->no_symptoms-->mild-->followup_sensitivity-->moderate,9,4
691,19,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->mild-->followup_efficiency-->moderate,mild-->no_symptoms-->mild-->followup_efficiency-->moderate,4,4
692,20,24,"rgba(192,192,192,0.2)",mild-->no_symptoms-->mild-->inconclusive-->inconclusive,mild-->no_symptoms-->mild-->inconclusive-->inconclusive,1,4
693,17,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->no_symptoms-->moderate,mild-->no_symptoms-->moderate-->no_symptoms-->moderate,13,4
694,18,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,mild-->no_symptoms-->moderate-->followup_sensitivity-->moderate,2,4
695,19,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,mild-->no_symptoms-->moderate-->followup_efficiency-->moderate,1,4
696,20,24,"rgba(192,192,192,0.2)",mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,mild-->no_symptoms-->moderate-->inconclusive-->inconclusive,1,4
697,17,22,"rgba(255,128,0,0.2)",mild-->no_symptoms-->severe-->no_symptoms-->moderate,mild-->no_symptoms-->severe-->no_symptoms-->moderate,1,4
698,20,24,"rgba(192,192,192,0.2)",mild-->no_symptoms-->inconclusive-->inconclusive-->inconclusive,mild-->no_symptoms-->inconclusive-->inconclusive-->inconclusive,4,4
699,17,21,"rgba(0,255,0,0.2)",mild-->mild-->no_symptoms-->no_symptoms-->mild,mild-->mild-->no_symptoms-->no_symptoms-->mild,77,4
700,18,22,"rgba(255,128,0,0.2)",mild-->mild-->no_symptoms-->followup_sensitivity-->moderate,mild-->mild-->no_symptoms-->followup_sensitivity-->moderate,3,4
701,19,22,"rgba(255,128,0,0.2)",mild-->mild-->no_symptoms-->followup_efficiency-->moderate,mild-->mild-->no_symptoms-->followup_efficiency-->moderate,4,4
702,20,24,"rgba(192,192,192,0.2)",mild-->mild-->no_symptoms-->inconclusive-->inconclusive,mild-->mild-->no_symptoms-->inconclusive-->inconclusive,2,4
703,17,21,"rgba(0,255,0,0.2)",mild-->mild-->mild-->no_symptoms-->mild,mild-->mild-->mild-->no_symptoms-->mild,250,4
704,18,22,"rgba(255,128,0,0.2)",mild-->mild-->mild-->followup_sensitivity-->moderate,mild-->mild-->mild-->followup_sensitivity-->moderate,45,4
705,19,22,"rgba(255,128,0,0.2)",mild-->mild-->mild-->followup_efficiency-->moderate,mild-->mild-->mild-->followup_efficiency-->moderate,26,4
706,20,24,"rgba(192,192,192,0.2)",mild-->mild-->mild-->inconclusive-->inconclusive,mild-->mild-->mild-->inconclusive-->inconclusive,6,4
707,17,22,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->no_symptoms-->moderate,mild-->mild-->moderate-->no_symptoms-->moderate,43,4
708,18,22,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->followup_sensitivity-->moderate,mild-->mild-->moderate-->followup_sensitivity-->moderate,13,4
709,19,22,"rgba(255,128,0,0.2)",mild-->mild-->moderate-->followup_efficiency-->moderate,mild-->mild-->moderate-->followup_efficiency-->moderate,7,4
710,20,24,"rgba(192,192,192,0.2)",mild-->mild-->moderate-->inconclusive-->inconclusive,mild-->mild-->moderate-->inconclusive-->inconclusive,1,4
711,17,22,"rgba(255,128,0,0.2)",mild-->mild-->severe-->no_symptoms-->moderate,mild-->mild-->severe-->no_symptoms-->moderate,2,4
712,18,22,"rgba(255,128,0,0.2)",mild-->mild-->severe-->followup_sensitivity-->moderate,mild-->mild-->severe-->followup_sensitivity-->moderate,1,4
713,19,22,"rgba(255,128,0,0.2)",mild-->mild-->severe-->followup_efficiency-->moderate,mild-->mild-->severe-->followup_efficiency-->moderate,2,4
714,17,24,"rgba(192,192,192,0.2)",mild-->mild-->inconclusive-->no_symptoms-->inconclusive,mild-->mild-->inconclusive-->no_symptoms-->inconclusive,1,4
715,20,24,"rgba(192,192,192,0.2)",mild-->mild-->inconclusive-->inconclusive-->inconclusive,mild-->mild-->inconclusive-->inconclusive-->inconclusive,13,4
716,17,22,"rgba(255,128,0,0.2)",mild-->moderate-->no_symptoms-->no_symptoms-->moderate,mild-->moderate-->no_symptoms-->no_symptoms-->moderate,13,4
717,18,22,"rgba(255,128,0,0.2)",mild-->moderate-->no_symptoms-->followup_sensitivity-->moderate,mild-->moderate-->no_symptoms-->followup_sensitivity-->moderate,1,4
718,19,22,"rgba(255,128,0,0.2)",mild-->moderate-->no_symptoms-->followup_efficiency-->moderate,mild-->moderate-->no_symptoms-->followup_efficiency-->moderate,2,4
719,20,24,"rgba(192,192,192,0.2)",mild-->moderate-->no_symptoms-->inconclusive-->inconclusive,mild-->moderate-->no_symptoms-->inconclusive-->inconclusive,1,4
720,17,22,"rgba(255,128,0,0.2)",mild-->moderate-->mild-->no_symptoms-->moderate,mild-->moderate-->mild-->no_symptoms-->moderate,62,4
721,18,22,"rgba(255,128,0,0.2)",mild-->moderate-->mild-->followup_sensitivity-->moderate,mild-->moderate-->mild-->followup_sensitivity-->moderate,8,4
722,19,22,"rgba(255,128,0,0.2)",mild-->moderate-->mild-->followup_efficiency-->moderate,mild-->moderate-->mild-->followup_efficiency-->moderate,10,4
723,20,24,"rgba(192,192,192,0.2)",mild-->moderate-->mild-->inconclusive-->inconclusive,mild-->moderate-->mild-->inconclusive-->inconclusive,2,4
724,17,22,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->no_symptoms-->moderate,mild-->moderate-->moderate-->no_symptoms-->moderate,23,4
725,18,22,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->followup_sensitivity-->moderate,mild-->moderate-->moderate-->followup_sensitivity-->moderate,2,4
726,19,22,"rgba(255,128,0,0.2)",mild-->moderate-->moderate-->followup_efficiency-->moderate,mild-->moderate-->moderate-->followup_efficiency-->moderate,8,4
727,17,22,"rgba(255,128,0,0.2)",mild-->moderate-->severe-->no_symptoms-->moderate,mild-->moderate-->severe-->no_symptoms-->moderate,2,4
728,18,22,"rgba(255,128,0,0.2)",mild-->moderate-->severe-->followup_sensitivity-->moderate,mild-->moderate-->severe-->followup_sensitivity-->moderate,1,4
729,19,22,"rgba(255,128,0,0.2)",mild-->moderate-->severe-->followup_efficiency-->moderate,mild-->moderate-->severe-->followup_efficiency-->moderate,1,4
730,20,24,"rgba(192,192,192,0.2)",mild-->moderate-->inconclusive-->inconclusive-->inconclusive,mild-->moderate-->inconclusive-->inconclusive-->inconclusive,5,4
731,17,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,mild-->moderately_severe-->no_symptoms-->no_symptoms-->moderate,4,4
732,17,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->mild-->no_symptoms-->moderate,mild-->moderately_severe-->mild-->no_symptoms-->moderate,6,4
733,18,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->mild-->followup_sensitivity-->moderate,mild-->moderately_severe-->mild-->followup_sensitivity-->moderate,2,4
734,19,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->mild-->followup_efficiency-->moderate,mild-->moderately_severe-->mild-->followup_efficiency-->moderate,2,4
735,17,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->no_symptoms-->moderate,mild-->moderately_severe-->moderate-->no_symptoms-->moderate,5,4
736,18,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->followup_sensitivity-->moderate,mild-->moderately_severe-->moderate-->followup_sensitivity-->moderate,2,4
737,19,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->followup_efficiency-->moderate,mild-->moderately_severe-->moderate-->followup_efficiency-->moderate,1,4
738,18,22,"rgba(255,128,0,0.2)",mild-->moderately_severe-->severe-->followup_sensitivity-->moderate,mild-->moderately_severe-->severe-->followup_sensitivity-->moderate,1,4
