,source,target,color,path,label,value,level
390,9,13,"rgba(0,255,0,0.2)",mild-->moderately_severe-->mild-->followup_sensitivity-->moderate,moderate,2,2
391,9,13,"rgba(0,255,0,0.2)",mild-->moderately_severe-->mild-->followup_efficiency-->moderate,moderate,2,2
392,9,14,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->no_symptoms-->moderate,moderate,5,2
393,9,14,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->followup_sensitivity-->moderate,moderate,2,2
394,9,14,"rgba(255,128,0,0.2)",mild-->moderately_severe-->moderate-->followup_efficiency-->moderate,moderate,1,2
395,9,15,"rgba(255,0,0,0.2)",mild-->moderately_severe-->severe-->followup_sensitivity-->moderate,moderate,1,2
396,11,15,"rgba(255,0,0,0.2)",mild-->inconclusive-->severe-->no_symptoms-->inconclusive,inconclusive,1,2
397,11,16,"rgba(192,192,192,0.2)",mild-->inconclusive-->inconclusive-->inconclusive-->inconclusive,inconclusive,49,2
398,6,12,"rgba(0,0,255,0.2)",moderate-->no_symptoms-->no_symptoms-->no_symptoms-->mild,mild,1,2
399,6,13,"rgba(0,255,0,0.2)",moderate-->no_symptoms-->mild-->no_symptoms-->mild,mild,8,2
400,6,13,"rgba(0,255,0,0.2)",moderate-->no_symptoms-->mild-->followup_sensitivity-->moderate,moderate,1,2
401,6,14,"rgba(255,128,0,0.2)",moderate-->no_symptoms-->moderate-->no_symptoms-->moderate,moderate,15,2
402,6,14,"rgba(255,128,0,0.2)",moderate-->no_symptoms-->moderate-->followup_sensitivity-->moderate,moderate,2,2
403,6,15,"rgba(255,0,0,0.2)",moderate-->no_symptoms-->severe-->no_symptoms-->moderate,moderate,2,2
404,6,15,"rgba(255,0,0,0.2)",moderate-->no_symptoms-->severe-->no_symptoms-->severe,severe,5,2
405,6,15,"rgba(255,0,0,0.2)",moderate-->no_symptoms-->severe-->followup_sensitivity-->moderate,moderate,1,2
406,6,15,"rgba(255,0,0,0.2)",moderate-->no_symptoms-->severe-->followup_efficiency-->moderate,moderate,1,2
407,7,12,"rgba(0,0,255,0.2)",moderate-->mild-->no_symptoms-->no_symptoms-->mild,mild,2,2
408,7,13,"rgba(0,255,0,0.2)",moderate-->mild-->mild-->no_symptoms-->mild,mild,61,2
